Village,Survey,Site,HBR,survMaggr,CatchSite
KNH,7,5,3.56,9,KNH-5
KNH,8,1,0.34,9,KNH-1
KNH,8,2,0.16,9,KNH-2
KNH,8,3,0.12,9,KNH-3
KNH,8,4,0.34,9,KNH-4
KNH,8,5,0.4,9,KNH-5
KNH,9,1,0.26,9,KNH-1
KNH,9,2,0.12,9,KNH-2
KNH,9,3,0.16,9,KNH-3
KNH,9,4,0.28,9,KNH-4
KNH,9,5,0.6,9,KNH-5
KNH,10,1,2.42,12,KNH-1
KNH,10,2,1.28,12,KNH-2
KNH,10,3,3.7,12,KNH-3
KNH,10,4,2.5,12,KNH-4
KNH,10,5,2.84,12,KNH-5
KNH,11,1,5.34,12,KNH-1
KNH,11,2,1.12,12,KNH-2
KNH,11,3,1.8,12,KNH-3
KNH,11,4,3.72,12,KNH-4
KNH,11,5,1.46,12,KNH-5
KNH,12,1,3.08,12,KNH-1
KNH,12,2,0.64,12,KNH-2
KNH,12,3,2.34,12,KNH-3
KNH,12,4,2.6,12,KNH-4
KNH,12,5,1.36,12,KNH-5
KNH,13,1,3.84,15,KNH-1
KNH,13,2,2.02,15,KNH-2
KNH,13,3,1.7,15,KNH-3
KNH,13,4,1.54,15,KNH-4
KNH,13,5,1.08,15,KNH-5
KNH,14,1,0.92,15,KNH-1
KNH,14,2,0.22,15,KNH-2
KNH,14,3,1.22,15,KNH-3
KNH,14,4,0.42,15,KNH-4
KNH,14,5,0.32,15,KNH-5
KNH,15,1,1.8,15,KNH-1
KNH,15,2,3.08,15,KNH-2
KNH,15,3,9.08,15,KNH-3
KNH,15,4,7.2,15,KNH-4
KNH,15,5,6.64,15,KNH-5
KNH,16,1,0.68,18,KNH-1
KNH,16,2,0.9,18,KNH-2
KNH,16,3,3.84,18,KNH-3
KNH,16,4,4.76,18,KNH-4
KNH,16,5,5.2,18,KNH-5
KNH,17,1,0.22,18,KNH-1
KNH,17,2,0.24,18,KNH-2
KNH,17,3,0.82,18,KNH-3
KNH,17,4,0.68,18,KNH-4
KNH,17,5,1.24,18,KNH-5
KNH,18,1,0.1,18,KNH-1
KNH,18,2,0.2,18,KNH-2
KNH,18,3,0.42,18,KNH-3
KNH,18,4,0.7,18,KNH-4
KNH,18,5,0.34,18,KNH-5
KNH,19,1,0.12,21,KNH-1
KNH,19,2,0.32,21,KNH-2
KNH,19,3,2.52,21,KNH-3
KNH,19,4,2.08,21,KNH-4
KNH,19,5,1.6,21,KNH-5
KNH,20,1,0.08,21,KNH-1
KNH,20,2,0.1,21,KNH-2
KNH,20,3,1.54,21,KNH-3
KNH,20,4,0.94,21,KNH-4
KNH,20,5,1,21,KNH-5
KNH,21,1,3.1,21,KNH-1
KNH,21,2,4.7,21,KNH-2
KNH,21,3,11.92,21,KNH-3
KNH,21,4,4.34,21,KNH-4
KNH,21,5,6.08,21,KNH-5
TOT,1,1,0.16,3,TOT-1
TOT,1,2,0.12,3,TOT-2
TOT,1,3,0.06,3,TOT-3
TOT,1,4,0.2,3,TOT-4
TOT,1,5,0.94,3,TOT-5
TOT,2,1,5.26,3,TOT-1
TOT,2,2,2.12,3,TOT-2
TOT,2,3,3.72,3,TOT-3
TOT,2,4,2.92,3,TOT-4
TOT,2,5,5.9,3,TOT-5
TOT,3,1,3.98,3,TOT-1
TOT,3,2,0.42,3,TOT-2
TOT,3,3,2.98,3,TOT-3
TOT,3,4,3.56,3,TOT-4
TOT,3,5,3.12,3,TOT-5
TOT,4,1,3.28,6,TOT-1
TOT,4,2,1.88,6,TOT-2
TOT,4,3,4.16,6,TOT-3
TOT,4,4,7.16,6,TOT-4
TOT,4,5,9.9,6,TOT-5
TOT,5,1,0.66,6,TOT-1
TOT,5,2,0.38,6,TOT-2
TOT,5,3,1.52,6,TOT-3
TOT,5,4,4.1,6,TOT-4
TOT,5,5,9.76,6,TOT-5
TOT,6,1,1.88,6,TOT-1
TOT,6,2,1.54,6,TOT-2
TOT,6,3,3.92,6,TOT-3
TOT,6,4,7.98,6,TOT-4
TOT,6,5,16.58,6,TOT-5
TOT,7,1,0.36,9,TOT-1
TOT,7,2,0.4,9,TOT-2
TOT,7,3,0.5,9,TOT-3
TOT,7,4,1.7,9,TOT-4
TOT,7,5,3.5,9,TOT-5
TOT,8,1,0.1,9,TOT-1
TOT,8,2,0.16,9,TOT-2
TOT,8,3,0.08,9,TOT-3
TOT,8,4,0.08,9,TOT-4
TOT,8,5,0.02,9,TOT-5
TOT,9,1,0.04,9,TOT-1
TOT,9,2,0.04,9,TOT-2
TOT,9,3,0.14,9,TOT-3
TOT,9,4,0.12,9,TOT-4
TOT,9,5,0.08,9,TOT-5
TOT,10,1,0.38,12,TOT-1
TOT,10,2,0.26,12,TOT-2
TOT,10,3,0.26,12,TOT-3
TOT,10,4,0.56,12,TOT-4
TOT,10,5,0.28,12,TOT-5
TOT,11,1,0.04,12,TOT-1
TOT,11,2,0.18,12,TOT-2
TOT,11,3,0.36,12,TOT-3
TOT,11,4,0.28,12,TOT-4
TOT,11,5,1.02,12,TOT-5
TOT,12,1,0.06,12,TOT-1
TOT,12,2,0.04,12,TOT-2
TOT,12,3,0.08,12,TOT-3
TOT,12,4,0.02,12,TOT-4
TOT,12,5,1.76,12,TOT-5
TOT,13,1,0.52,15,TOT-1
TOT,13,2,0.38,15,TOT-2
TOT,13,3,0.4,15,TOT-3
TOT,13,4,1.02,15,TOT-4
TOT,13,5,1.36,15,TOT-5
TOT,14,1,8.56,15,TOT-1
TOT,14,2,4,15,TOT-2
TOT,14,3,15.46,15,TOT-3
TOT,14,4,17,15,TOT-4
TOT,14,5,20.72,15,TOT-5
TOT,15,1,13.88,15,TOT-1
TOT,15,2,3.44,15,TOT-2
TOT,15,3,14.7,15,TOT-3
TOT,15,4,11.92,15,TOT-4
TOT,15,5,23,15,TOT-5
TOT,16,1,5.58,18,TOT-1
TOT,16,2,3.82,18,TOT-2
TOT,16,3,15.22,18,TOT-3
TOT,16,4,4.42,18,TOT-4
TOT,16,5,14.5,18,TOT-5
TOT,17,1,12.72,18,TOT-1
TOT,17,2,8.94,18,TOT-2
TOT,17,3,27.42,18,TOT-3
TOT,17,4,12.38,18,TOT-4
TOT,17,5,25.52,18,TOT-5
TOT,18,1,3.7,18,TOT-1
TOT,18,2,12.7,18,TOT-2
TOT,18,3,20.8,18,TOT-3
TOT,18,4,9.28,18,TOT-4
TOT,18,5,27.08,18,TOT-5
TOT,19,1,0.82,21,TOT-1
TOT,19,2,1.36,21,TOT-2
TOT,19,3,3.44,21,TOT-3
TOT,19,4,3.24,21,TOT-4
TOT,19,5,9.08,21,TOT-5
TOT,20,1,0.26,21,TOT-1
TOT,20,2,0.12,21,TOT-2
TOT,20,3,0.12,21,TOT-3
TOT,20,4,0.26,21,TOT-4
TOT,20,5,0.18,21,TOT-5
TOT,21,1,0.08,21,TOT-1
TOT,21,2,0.76,21,TOT-2
TOT,21,3,0.22,21,TOT-3
TOT,21,4,0.1,21,TOT-4
TOT,21,5,0.22,21,TOT-5
TPN,1,1,1.66,3,TPN-1
TPN,1,2,1.22,3,TPN-2
TPN,1,3,0.82,3,TPN-3
TPN,1,4,1.7,3,TPN-4
TPN,1,5,3.18,3,TPN-5
TPN,2,1,1.48,3,TPN-1
TPN,2,2,1.02,3,TPN-2
TPN,2,3,2.2,3,TPN-3
TPN,2,4,1.94,3,TPN-4
TPN,2,5,2.58,3,TPN-5
TPN,3,1,0.94,3,TPN-1
TPN,3,2,2.94,3,TPN-2
TPN,3,3,10.74,3,TPN-3
TPN,3,4,5.62,3,TPN-4
TPN,3,5,3.68,3,TPN-5
TPN,4,1,1.02,6,TPN-1
TPN,4,2,0.84,6,TPN-2
TPN,4,3,1.3,6,TPN-3
TPN,4,4,1.86,6,TPN-4
TPN,4,5,2.72,6,TPN-5
TPN,5,1,0.7,6,TPN-1
TPN,5,2,0.52,6,TPN-2
TPN,5,3,0.7,6,TPN-3
TPN,5,4,0.8,6,TPN-4
TPN,5,5,0.6,6,TPN-5
TPN,6,1,0.36,6,TPN-1
TPN,6,2,0.38,6,TPN-2
TPN,6,3,0.56,6,TPN-3
TPN,6,4,0.76,6,TPN-4
TPN,6,5,0.58,6,TPN-5
TPN,7,1,1.32,9,TPN-1
TPN,7,2,1.52,9,TPN-2
TPN,7,3,0.94,9,TPN-3
TPN,7,4,2.68,9,TPN-4
TPN,7,5,3.18,9,TPN-5
TPN,8,1,1.74,9,TPN-1
TPN,8,2,2.12,9,TPN-2
TPN,8,3,0.84,9,TPN-3
TPN,8,4,2.1,9,TPN-4
TPN,8,5,3.34,9,TPN-5
TPN,9,1,1.62,9,TPN-1
TPN,9,2,0.96,9,TPN-2
TPN,9,3,0.36,9,TPN-3
TPN,9,4,1.74,9,TPN-4
TPN,9,5,2.22,9,TPN-5
